id,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,a_balcony,a_garden,a_fireplace,a_outdoors,a_pool,a_breakfast,a_air_conditioning,a_parking,a_working_space,a_child_friendly,a_gym,a_gaming,a_kitchen,a_pets,bathrooms_type,bathrooms_count,flag_review_scores_rating,ln_price,host_professional,seeked,is_reviewed,holdout
21974,0,3,3,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,2,1 shared bath,1,1,80,3,90,3,3,90,90,3,90,1,0,14,44,134,2020-12-17,2,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Shared,1,0,4.382026634673881,Individual,1,1,0
23197,1,6,6,1,1,el Besòs i el Maresme,Sant Martí,Apartment,Entire home/apt,6,2 baths,3,5,183,3,300,3,4,1125,1125,3.1,1125,1,30,60,82,320,2020-12-18,52,0,0,95,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Private,2,0,5.209486152841421,Professional,0,1,1
32711,0,5,5,1,1,el Camp d'en Grassot i Gràcia Nova,Gràcia,Apartment,Entire home/apt,6,1.5 baths,2,3,98,2,31,2,2,31,31,2,31,1,0,0,0,0,2020-12-18,63,4,0,86,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,0,4.584967478670572,Professional,1,1,0
34241,0,3,3,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,2,1 private bath,1,1,46,30,240,30,30,240,240,30,240,1,0,0,0,0,2020-12-18,8,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,3.828641396489095,Individual,1,1,0
35379,1,4,4,1,1,l'Antiga Esquerra de l'Eixample,Eixample,Apartment,Private room,2,2 shared baths,1,1,15,2,60,2,2,1125,1125,2,1125,1,12,41,71,342,2020-12-18,322,36,3,94,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,Shared,2,0,2.70805020110221,Professional,0,1,0
35392,1,4,4,1,1,l'Antiga Esquerra de l'Eixample,Eixample,Apartment,Private room,2,2 shared baths,1,1,17,2,60,2,2,1125,1125,2,1125,1,17,45,75,346,2020-12-17,237,27,1,95,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,Shared,2,0,2.833213344056216,Professional,0,1,0
40983,1,7,7,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,4,1 bath,1,1,39,2,364,2,2,364,364,2,364,1,9,39,69,338,2020-12-30,170,25,2,94,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,0,3.6635616461296463,Professional,0,1,0
41952,0,9,9,1,1,el Camp d'en Grassot i Gràcia Nova,Gràcia,Apartment,Entire home/apt,6,2 baths,2,4,110,3,365,3,3,365,365,3,365,1,30,60,90,365,2020-12-18,39,0,0,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,2,0,4.700480365792417,Professional,0,1,0
46153,1,6,6,1,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Apartment,Entire home/apt,3,1 bath,2,3,30,90,180,90,90,1125,1125,90,1125,1,0,0,16,291,2020-12-17,2,0,0,70,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,0,3.4011973816621555,Professional,1,1,0
49968,0,5,5,1,1,el Camp d'en Grassot i Gràcia Nova,Gràcia,Apartment,Entire home/apt,6,1 bath,2,0,98,2,180,2,2,180,180,2,180,1,16,46,76,301,2020-12-18,43,4,0,88,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,0,4.584967478670572,Professional,0,1,0
58512,0,1,1,1,1,el Camp de l'Arpa del Clot,Sant Martí,Apartment,Entire home/apt,6,2 baths,3,4,116,5,90,5,5,1125,1125,5,1125,1,30,60,90,331,2020-12-18,382,3,0,89,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Private,2,0,4.7535901911063645,Individual,0,1,1
61444,0,5,5,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,6,1 bath,2,4,105,2,90,2,2,90,90,2,90,1,0,10,38,285,2020-12-18,52,3,0,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Private,1,0,4.653960350157523,Professional,1,1,0
68547,0,1,1,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Private room,2,2 baths,1,2,49,2,730,2,2,730,730,2,730,1,30,60,90,365,2020-12-17,90,1,0,95,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Private,2,0,3.8918202981106265,Individual,0,1,0
71553,0,10,10,1,1,el Fort Pienc,Eixample,Apartment,Entire home/apt,2,1.5 baths,1,1,80,2,1125,2,2,1125,1125,2,1125,1,30,60,90,350,2020-12-18,49,1,0,83,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Private,1,0,4.382026634673881,Professional,0,1,1
71603,0,10,10,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,4,2 baths,2,4,452,3,365,3,3,365,365,3,365,1,30,60,90,365,2020-12-17,37,0,0,93,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,Private,2,0,6.113682179832232,Professional,0,1,1
71736,0,6,6,1,0,el Raval,Ciutat Vella,Apartment,Entire home/apt,5,1.5 baths,4,5,60,32,730,32,32,730,730,32,730,1,0,0,0,0,2020-12-30,11,0,0,80,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Private,1,0,4.0943445622221,Professional,1,1,1
72436,1,6,6,1,1,el Poblenou,Sant Martí,Apartment,Entire home/apt,2,1 bath,1,1,80,1,28,1,5,28,9999,3.3,9908.8,1,29,59,89,350,2020-12-17,354,85,5,96,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,Private,1,0,4.382026634673881,Professional,0,1,0
72793,0,6,6,1,0,el Raval,Ciutat Vella,Apartment,Entire home/apt,2,1 bath,1,2,50,32,1000,32,32,1000,1000,32,1000,1,30,60,90,365,2020-12-18,2,0,0,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Private,1,0,3.912023005428146,Professional,0,1,0
72794,0,6,6,1,0,el Raval,Ciutat Vella,Apartment,Entire home/apt,2,1 bath,2,2,50,32,3000,32,32,3000,3000,32,3000,1,30,60,90,365,2020-12-18,8,0,0,87,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Private,1,0,3.912023005428146,Professional,0,1,0
73692,0,5,5,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,5,1 bath,2,3,105,2,90,2,2,90,90,2,90,1,0,18,48,295,2020-12-17,43,3,0,82,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.653960350157523,Professional,1,1,0
73693,0,5,5,1,1,el Poble Sec,Sants-Montjuïc,Apartment,Entire home/apt,5,1 bath,2,2,65,2,90,2,2,90,90,2,90,1,0,6,36,306,2020-12-17,49,4,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Private,1,0,4.174387269895637,Professional,0,1,0
73700,0,5,5,1,1,el Poble Sec,Sants-Montjuïc,Apartment,Entire home/apt,4,1 bath,2,2,65,2,90,2,2,90,90,2,90,1,0,0,0,0,2020-12-18,85,4,1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,1,0,4.174387269895637,Professional,1,1,0
75003,0,111,111,1,1,la Sagrada Família,Eixample,Apartment,Entire home/apt,5,1 bath,2,3,94,2,365,2,5,365,365,2.2,365,1,20,50,80,344,2020-12-18,21,8,0,89,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Private,1,0,4.543294782270004,Professional,0,1,0
75411,1,5,5,1,1,el Clot,Sant Martí,Apartment,Entire home/apt,6,1 bath,3,6,131,3,330,3,7,330,330,3.2,330,1,0,0,0,0,2020-12-17,30,0,0,89,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,0,4.875197323201151,Professional,1,1,1
80004,0,1,1,1,1,el Poble Sec,Sants-Montjuïc,Apartment,Entire home/apt,5,1 bath,3,3,107,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,2020-12-17,127,1,0,91,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.672828834461906,Individual,1,1,0
81631,0,0,0,1,0,la Vila de Gràcia,Gràcia,Apartment,Entire home/apt,2,1 bath,1,1,75,2,30,2,2,30,30,2,30,1,29,59,89,89,2020-12-17,12,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Private,1,0,4.31748811353631,Individual,1,1,0
83283,0,0,0,1,1,l'Antiga Esquerra de l'Eixample,Eixample,Apartment,Private room,2,1 shared bath,1,0,40,3,365,3,3,365,365,3,365,1,30,60,90,90,2020-12-19,107,0,0,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Shared,1,0,3.6888794541139363,Individual,1,1,0
89776,1,1,1,1,1,la Dreta de l'Eixample,Eixample,Apartment,Entire home/apt,4,1 bath,1,2,85,3,365,3,3,1125,1125,3,1125,1,29,59,89,357,2020-12-18,336,14,0,96,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,0,4.442651256490317,Individual,0,1,0
95719,0,1,1,1,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Apartment,Private room,2,1 shared bath,1,0,53,2,365,2,2,365,365,2,365,1,30,60,90,365,2020-12-18,232,2,0,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Shared,1,0,3.970291913552122,Individual,0,1,1
97529,0,1,1,1,0,el Baix Guinardó,Horta-Guinardó,Apartment,Entire home/apt,2,1 bath,1,1,40,32,1125,32,32,1125,1125,32,1125,1,0,0,16,291,2020-12-17,64,0,0,95,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,0,3.6888794541139363,Individual,1,1,1
100256,1,2,2,1,1,la Barceloneta,Ciutat Vella,Apartment,Entire home/apt,3,1 bath,1,2,45,32,365,32,32,1125,1125,32,1125,1,30,60,90,359,2020-12-17,63,9,1,91,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Private,1,0,3.8066624897703196,Individual,0,1,0
104485,1,0,0,1,1,l'Antiga Esquerra de l'Eixample,Eixample,Apartment,Private room,2,1 shared bath,1,1,26,1,30,1,1,1125,1125,1,1125,1,2,32,62,62,2020-12-18,204,12,1,89,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Shared,1,0,3.258096538021482,Individual,1,1,0
110041,0,111,111,1,1,el Camp d'en Grassot i Gràcia Nova,Gràcia,Apartment,Entire home/apt,4,1 bath,1,2,92,2,365,1,5,365,365,2.2,365,1,27,57,87,362,2020-12-18,27,9,0,88,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Private,1,0,4.5217885770490405,Professional,0,1,0
110098,0,111,111,1,1,el Barri Gòtic,Ciutat Vella,Apartment,Entire home/apt,4,1 bath,1,3,84,2,365,2,5,365,365,2.2,365,1,21,51,81,349,2020-12-17,33,15,0,91,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,Private,1,0,4.430816798843313,Professional,0,1,0
118228,0,13,13,1,1,la Sagrada Família,Eixample,Apartment,Entire home/apt,6,1.5 baths,3,5,97,2,28,2,2,28,28,2,28,1,19,21,37,113,2020-12-17,15,0,0,87,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,0,4.574710978503383,Professional,1,1,0
119546,1,1,1,1,1,el Raval,Ciutat Vella,Apartment,Private room,2,1 private bath,1,1,52,31,60,31,31,1125,1125,31,1125,1,30,60,90,365,2020-12-17,316,3,0,97,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,Private,1,0,3.9512437185814275,Individual,0,1,0
128463,1,1,1,1,1,Sants,Sants-Montjuïc,Apartment,Private room,2,1 private bath,1,1,50,3,1125,3,3,1125,1125,3,1125,1,0,15,45,301,2020-12-18,282,6,0,97,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Private,1,0,3.912023005428146,Individual,0,1,0
130227,1,1,1,1,1,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Apartment,Private room,2,1.5 baths,1,1,70,1,28,1,1,28,28,1,28,1,30,60,90,356,2020-12-19,107,3,0,94,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,Private,1,0,4.248495242049359,Individual,0,1,0
135513,0,1,1,1,1,el Poblenou,Sant Martí,Apartment,Entire home/apt,5,1.5 baths,2,3,80,2,365,2,2,365,365,2,365,1,30,60,90,358,2020-12-18,127,2,0,93,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Private,1,0,4.382026634673881,Individual,0,1,0
136670,0,5,5,1,1,Pedralbes,Les Corts,Apartment,Private room,2,1 shared bath,1,1,55,30,1125,30,30,1125,1125,30,1125,1,1,1,1,1,2020-12-19,128,0,0,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Shared,1,0,4.007333185232471,Professional,1,1,0
138055,0,13,13,1,1,la Sagrada Família,Eixample,Apartment,Entire home/apt,6,1.5 baths,3,5,92,3,28,2,3,28,28,2.5,28,1,0,0,0,0,2020-12-19,90,0,0,93,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Private,1,0,4.5217885770490405,Professional,1,1,0
